Target Percentage,SMOTE,Face Detection,Not You Precision,Not You Recall,Not You F1,You Precision,You Recall,You F1,Macro Avg F1,Weighted Avg F1
5,False,True,0.99,1.0,1.0,0.99,1.0,1.0,0.95,0.99
5,True,True,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0
5,False,False,0.96,1.0,0.98,0.96,1.0,0.98,0.62,0.94
5,True,False,0.97,1.0,0.98,0.97,1.0,0.98,0.73,0.96
10,False,True,0.98,1.0,0.99,0.98,1.0,0.99,0.95,0.98
10,True,True,0.98,1.0,0.99,0.98,1.0,0.99,0.95,0.98
10,False,False,0.98,1.0,0.99,0.98,1.0,0.99,0.93,0.98
10,True,False,0.97,1.0,0.98,0.97,1.0,0.98,0.9,0.97
15,False,True,0.99,1.0,0.99,0.99,1.0,0.99,0.98,0.99
15,True,True,0.99,1.0,0.99,0.99,1.0,0.99,0.98,0.99
15,False,False,0.97,1.0,0.99,0.97,1.0,0.99,0.95,0.98
15,True,False,0.99,1.0,0.99,0.99,1.0,0.99,0.98,0.99
20,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,False,False,0.93,1.0,0.96,0.93,1.0,0.96,0.9,0.94
20,True,False,0.93,1.0,0.96,0.93,1.0,0.96,0.9,0.94
25,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,False,False,0.93,1.0,0.96,0.93,1.0,0.96,0.92,0.94
25,True,False,0.98,1.0,0.99,0.98,1.0,0.99,0.97,0.98
30,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,False,False,0.91,0.97,0.94,0.91,0.97,0.94,0.89,0.91
30,True,False,0.91,0.97,0.94,0.91,0.97,0.94,0.89,0.91
50,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,False,False,0.88,1.0,0.93,0.88,1.0,0.93,0.93,0.93
50,True,False,0.88,1.0,0.93,0.88,1.0,0.93,0.93,0.93
70,False,True,0.75,0.6,0.67,0.75,0.6,0.67,0.78,0.83
70,True,True,0.75,0.6,0.67,0.75,0.6,0.67,0.78,0.83
70,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0



Best Combination based on Weighted Avg F1:
Target Percentage: 25
SMOTE: False
Face Detection: True
Weighted Avg F1 Score: 1.0
